,brand,model,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,audio_jack,bluetooth,GPS,NFC,radio,battery,approx_price_EUR,img_url,GSM,LTE,DualSim,NumberOfCores,li-ion,li-po,AMOLED,([^\w]|\b)OLED,TFT,LCD,Android,Windows,iOS
6609,Meizu,MX5,HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2015,149.9 x 74.7 x 7.6 mm (5.90 x 2.94 x 0.30 in),149.0,Dual SIM (Nano-SIM| dual stand-by),AMOLED capacitive touchscreen  16M colors,5.5 inches (~74.5% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 5.0.1 (Lollipop),Octa-core 2.2 GHz Cortex-A53,Mediatek MT6795 Helio X10,PowerVR G6200,No,16/32/64 GB,3 GB RAM,20.7 MP| f/2.2| laser autofocus| dual-LED (dual tone) flash| ,5 MP| f/2.2| 1080p@30fps,Yes,Yes,Yes,,No,Non-removable Li-Ion 3150 mAh battery,210.0,http://cdn2.gsmarena.com/vv/bigpic/meizu-mx5.jpg,GSM,LTE,Yes,8,Yes,,AMOLED,,,,Yes,,
6610,Meizu,M2 Note,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015,150.9 x 75.2 x 8.7 mm (5.94 x 2.96 x 0.34 in),149.0,Dual SIM (Nano-SIM| dual stand-by),IGZO IPS LCD capacitive touchscreen  16M colors,5.5 inches (~72.8% screen-to-body ratio),1080 x 1920 pixels (~403 ppi pixel density),Android 5.0 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP3,microSD  up to 256 GB (uses SIM 2 slot),16/32 GB,2 GB RAM,13 MP| f/2.2| autofocus| dual-LED (dual tone) flash| ,"5 MP| f/2.0| 1/5"" sensor size| 1.12 µm pixel size| 1080p",Yes,Yes,Yes,,No,Non-removable 3100 mAh battery,200.0,http://cdn2.gsmarena.com/vv/bigpic/meizu-m1-note2.jpg,GSM,LTE,Yes,8,,,,,,LCD,Yes,,
6611,Motorola,Moto G Dual SIM (2nd gen),HSPA 21.1/5.76 Mbps,Yes,Yes,2014,141.5 x 70.7 x 11 mm (5.57 x 2.78 x 0.43 in),149.0,Dual SIM| (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~68.9% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.4 (KitKat)| upgradable to Android L,Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8226 Snapdragon 400,Adreno 305,microSD  up to 32 GB (dedicated slot),8/16 GB,1 GB RAM,8 MP| f/2.0| autofocus| LED flash,2 MP| f/2.2,Yes,Yes,Yes,,FM radio,Non-removable Li-Ion 2070 mAh battery,200.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-moto-g-2014.jpg,GSM,,Yes,4,Yes,,,,,LCD,Yes,,
6612,Motorola,Moto G (2nd gen),HSPA 21.1/5.76 Mbps,Yes,Yes,2014,141.5 x 70.7 x 11 mm (5.57 x 2.78 x 0.43 in),149.0,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~68.9% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.4 (KitKat)| upgradable to 6.0 (Marshmallow),Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8226 Snapdragon 400,Adreno 305,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| f/2.0| autofocus| LED flash| ,2 MP| f/2.2,Yes,Yes,Yes,,FM radio,Non-removable Li-Ion 2070 mAh battery,160.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-moto-g-2014.jpg,GSM,,,4,Yes,,,,,LCD,Yes,,
6613,Samsung,Galaxy On5 Pro,HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2016,142.3 x 72.1 x 8.5 mm (5.60 x 2.84 x 0.33 in),149.0,Dual SIM (Micro-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,5.0 inches (~67.2% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A7,Exynos 3475 Quad,Mali-T720,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM,8 MP| f/2.2| autofocus| LED flash,5 MP| f/2.2,Yes,Yes,Yes,,FM radio,Removable Li-Ion 2600 mAh battery,150.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-on5.jpg,GSM,LTE,Yes,4,Yes,,,,TFT,,Yes,,
6614,Samsung,Galaxy On5,HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2015,142.3 x 72.1 x 8.5 mm (5.60 x 2.84 x 0.33 in),149.0,Dual SIM (Micro-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,5.0 inches (~70.0% screen-to-body ratio),720 x 1280 pixels (~288 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Exynos 3475 Quad,Mali-T720,microSD  up to 256 GB (dedicated slot),8 GB,1.5 GB RAM,8 MP| f/2.2| autofocus| LED flash,5 MP| f/2.2,Yes,Yes,Yes,,FM radio,Removable Li-Ion 2600 mAh battery,140.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-on5.jpg,GSM,LTE,Yes,4,Yes,,,,TFT,,Yes,,
6615,Samsung,Galaxy Core Lite LTE,HSPA  LTE Cat3 100/50 Mbps,Yes,Yes,2014,133.1 x 70 x 9.9 mm (5.24 x 2.76 x 0.39 in),149.0,Yes,TFT capacitive touchscreen  16M colors,4.7 inches (~67.5% screen-to-body ratio),480 x 800 pixels (~199 ppi pixel density),Android 4.3 (Jelly Bean),Quad-core 1.2 GHz,,,microSD  up to 64 GB (dedicated slot),8 GB, 1 GB RAM,5 MP| autofocus| LED flash,No,Yes,Yes,Yes,Yes,To be confirmed,Removable Li-Ion 2000 mAh battery,210.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-core-lite-lte1.jpg,GSM,LTE,,4,Yes,,,,TFT,,Yes,,
6616,Sony,Xperia acro HD SOI12,HSPA 10.2/5.76 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2012,126 x 66 x 11.9 mm (4.96 x 2.60 x 0.47 in),149.0,Micro-SIM,LED-backlit LCD  capacitive touchscreen  16M colors,4.3 inches (~61.3% screen-to-body ratio),720 x 1280 pixels (~342 ppi pixel density),Android 2.3 (Gingerbread),Dual-core 1.5 GHz Scorpion,Qualcomm MSM8660 Snapdragon S3,Adreno 220,microSD  up to 32 GB (dedicated slot),11 GB,1 GB RAM,12 MP| autofocus| LED flash,1.3 MP| 720p@30fps,Yes,Yes,Yes,,FM radio,Removable Li-Ion 1900 mAh battery,280.0,http://cdn2.gsmarena.com/vv/bigpic/Sony-Xperia-acro-HD-SOI12.jpg,GSM,,,2,Yes,,,,,LCD,Yes,,
6617,Toshiba,903T,Yes  384 kbps,Yes,,2005,111 x 50 x 25 mm (4.37 x 1.97 x 0.98 in),149.0,Mini-SIM,TFT  260K colors,2.4 inches (~32.1% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,SD,,,2 MP| autofocus,VGA videocall camera,No,Yes,Yes,,No,Removable Li-Ion 720 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/toshiba-903T.gif,GSM,,,1,Yes,,,,TFT,,,,
6618,Xiaomi,Mi 4 LTE,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2014,139.2 x 68.5 x 8.9 mm (5.48 x 2.70 x 0.35 in),149.0,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~72.3% screen-to-body ratio),1080 x 1920 pixels (~441 ppi pixel density),Android 4.4.3 (KitKat),Quad-core 2.5 GHz Krait 400,Qualcomm MSM8974AC Snapdragon 801,Adreno 330,No,16 GB,3 GB RAM,13 MP| f/1.8| autofocus| LED flash,8 MP| f/1.8| 1080p@30fps,Yes,Yes,Yes,,FM radio,Non-removable Li-Ion 3080 mAh battery,230.0,http://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-4-lte.jpg,GSM,LTE,,4,Yes,,,,,LCD,Yes,,
6619,Xiaomi,Mi 4,HSPA 42.2/5.76 Mbps  LTE  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2014,139.2 x 68.5 x 8.9 mm (5.48 x 2.70 x 0.35 in),149.0,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~72.3% screen-to-body ratio),1080 x 1920 pixels (~441 ppi pixel density),Android 4.4.3 (KitKat)| upgradable to 6.0.1 (Marshmallow),Quad-core 2.5 GHz Krait 400,Qualcomm MSM8974AC Snapdragon 801,Adreno 330,No,16/64 GB,2/3 GB RAM,13 MP| f/1.8| autofocus| LED flash| ,8 MP| f/1.8| 1080p@30fps,Yes,Yes,Yes,,FM radio,Non-removable Li-Ion 3080 mAh battery,230.0,http://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-4.jpg,GSM,LTE,,4,Yes,,,,,LCD,Yes,,
6620,Xiaomi,Mi 1S,HSPA 14.4/5.76 Mbps,Yes,Yes,2012,125 x 63 x 11.9 mm (4.92 x 2.48 x 0.47 in),149.0,Mini-SIM,TFT capacitive touchscreen  16M colors,4.0 inches (~56.0% screen-to-body ratio),480 x 854 pixels (~245 ppi pixel density),Android 4.0 (Ice Cream Sandwich),Dual-core 1.7 GHz Scorpion,Qualcomm MSM8260 Snapdragon S3,Adreno 220,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| f/2.2| 28mm| autofocus| LED flash,2 MP,Yes,Yes,Yes,,No,Removable Li-Ion 1930 mAh battery,190.0,http://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi1.jpg,GSM,,,2,Yes,,,,TFT,,Yes,,
6621,ZTE,Blade Apex 3,HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2015,134.4 x 67 x 9.6 mm (5.29 x 2.64 x 0.38 in),149.0,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,4.5 inches (~62.0% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Adreno 306,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| LED flash,2 MP,Yes,Yes,Yes,,FM radio,Non-removable Li-Ion 2000 mAh battery,110.0,http://cdn2.gsmarena.com/vv/bigpic/zte-blade-apex-3.jpg,GSM,LTE,,4,Yes,,,,,LCD,Yes,,
6622,alcatel,Fierce 2,HSPA,Yes,Yes,2014,141 x 71.9 x 9.9 mm (5.55 x 2.83 x 0.39 in),149.1,Micro-SIM,Capacitive touchscreen  16M colors,5.0 inches (~68.0% screen-to-body ratio),540 x 960 pixels (~220 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.2 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Yes,,FM radio,Removable Li-Ion battery,90.0,http://cdn2.gsmarena.com/vv/bigpic/alcatel-fierce2.jpg,GSM,,,4,Yes,,,,,,Yes,,
6623,Vertu,Constellation 2006,,Yes,Yes,2006,109 x 45 x 15.7 mm| 66 cc (4.29 x 1.77 x 0.62 in),140.0,Mini-SIM,TFT  256K colors,,,,,,,No,,,,,No,Yes,,,No,Non-removable Li-Ion battery,2800.0,http://cdn2.gsmarena.com/vv/bigpic/vertu_constellation.gif,GSM,,,1,Yes,,,,TFT,,,,
6624,Allview,Twin X2,HSPA 21.1/5.76 Mbps,Yes,Yes,2014,140.3 x 70.1 x 8 mm (5.52 x 2.76 x 0.31 in),149.7,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~70.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Octa-core 1.4 GHz Cortex-A7,,Mali-450MP4,microSD  up to 32 GB,8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes,,FM radio,Non-removable Li-Po 1920 mAh battery,230.0,http://cdn2.gsmarena.com/vv/bigpic/allview-twin-x2.jpg,GSM,,Yes,8,,Yes,,,,LCD,Yes,,
6625,LG,G3 (CDMA),HSPA  LTE Cat4 150/50 Mbps (LS990),Yes,Yes,2014,146.3 x 74.7 x 8.9 mm (5.76 x 2.94 x 0.35 in),149.7,Micro-SIM,True HD-IPS + LCD capacitive touchscreen  16M colors,5.5 inches (~75.2% screen-to-body ratio),1440 x 2560 pixels (~538 ppi pixel density),Android 4.4.2 (KitKat)| upgradable to 6.0 (Marshmallow),Quad-core 2.5 GHz Krait 400,Qualcomm MSM8975AC Snapdragon 801,Adreno 330,microSD  up to 256 GB (dedicated slot),32 GB,3 GB RAM,13 MP| phase detection/laser autofocus| OIS| dual-LED (dual tone) flash,2.1 MP| 1080p@30fps,Yes,Yes,Yes,Yes,FM radio (LS990 model),Removable Li-Ion 3000 mAh battery,300.0,http://cdn2.gsmarena.com/vv/bigpic/lg-g3-cdma.jpg,GSM,LTE,,4,Yes,,,,,LCD,Yes,,
6626,HTC,One A9s,HSPA 42.2/5.76 Mbps  LTE Cat6 300/50 Mbps,Yes,Yes,2016,146.5 x 71.5 x 8 mm (5.77 x 2.81 x 0.31 in),149.8,Nano-SIM,Super LCD capacitive touchscreen  16M colors,5.0 inches (~65.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mediatek MT6755 Helio P10,Mali-T860MP2,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM or 32 GB| 3 GB RAM,13 MP| f/2.2| 28mm| autofocus| LED flash,5 MP| f/2.8| 33.7 mm| 1.12 µm pixel size,Yes,Yes,Yes,Yes (payments only),FM radio,Non-removable Li-Ion 2300 mAh battery,350.0,http://cdn2.gsmarena.com/vv/bigpic/htc-a9sr.jpg,GSM,LTE,,8,Yes,,,,,LCD,Yes,,
6627,Acer,Liquid Jade Primo,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2015,156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in),150.0,Dual SIM (Nano-SIM| dual stand-by),AMOLED capacitive touchscreen  16M colors,5.5 inches (~70.2% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Microsoft Windows 10,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Qualcomm MSM8992 Snapdragon 808,Adreno 418,microSD  up to 256 GB (uses SIM 2 slot),32 GB,3 GB RAM,21 MP| f/2.2| autofocus| dual-LED flash| ,8 MP| f/2.2| 1080p@30fps,Yes,Yes,Yes,,FM radio,Non-removable Li-Po 2870 mAh battery,220.0,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg,GSM,LTE,Yes,1,,Yes,AMOLED,,,,,Yes,
6628,Acer,Liquid Z500,HSPA,Yes,Yes,2014,145 x 73 x 8.8 mm (5.71 x 2.87 x 0.35 in),150.0,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes,,FM radio,Non-removable Li-Ion 2000 mAh battery,150.0,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,GSM,,Yes,4,Yes,,,,,LCD,Yes,,
6629,Acer,Liquid Z5,HSPA,Yes,Yes,2014,145.5 x 73.5 x 8.8 mm (5.73 x 2.89 x 0.35 in),150.0,Dual SIM,TFT capacitive touchscreen  16M colors,5.0 inches (~64.4% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 4.2 (Jelly Bean),Dual-core 1.3 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| LED flash,VGA,Yes,Yes,Yes,,FM radio,Non-removable Li-Ion 2000 mAh battery,170.0,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,GSM,,Yes,2,Yes,,,,TFT,,Yes,,
6630,alcatel,Pop D5,HSPA 21.1/5.76 Mbps,Yes,Yes,2014,132.5 x 67.9 x 10 mm (5.22 x 2.67 x 0.39 in),150.0,Micro-SIM,TFT capacitive touchscreen  16M colors,4.5 inches (~62.0% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| LED flash,VGA,Yes,Yes,Yes,,FM radio,Removable Li-Ion 1800 mAh battery,100.0,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-d5.jpg,GSM,,,4,Yes,,,,TFT,,Yes,,
6631,Allview,C6 Quad 4G,HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2014,134.5 x 67.2 x 9.7 mm (5.30 x 2.65 x 0.38 in),150.0,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,4.5 inches (~61.7% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,,Mali-400,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Yes,,FM radio,Removable Li-Ion 1800 mAh battery,140.0,http://cdn2.gsmarena.com/vv/bigpic/allview-c6-quad-4g.jpg,GSM,LTE,,4,Yes,,,,,LCD,Yes,,
6632,Archos,45 Platinum,HSPA 7.2/5.76 Mbps,Yes,Yes,2013,142.5 x 71.8 x 9.2 mm (5.61 x 2.83 x 0.36 in),150.0,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,4.5 inches (~54.6% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Android 4.1.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A5,Qualcomm MSM8225Q Snapdragon S4 Play,Adreno 203,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Yes,,Stereo FM radio,Removable Li-Ion 1600 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/archos-platinum-45.jpg,GSM,,Yes,4,Yes,,,,TFT,,Yes,,
6633,Asus,Zenfone Go ZB500KL,HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016,143.7 x 70.9 x 11.3 mm (5.66 x 2.79 x 0.44 in),150.0,Dual SIM (Dual stand-by| dual active),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.6% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Adreno 306,microSD  up to 256 GB (uses SIM 2 slot),16 GB,2 GB RAM,13 MP| f/2.0| autofocus| LED flash,5 MP| f/2.0| autofocus,Yes,Yes,Yes,,FM radio,Removable Li-Ion 2600 mAh battery,130.0,http://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zb500kl.jpg,GSM,LTE,Yes,4,Yes,,,,,LCD,Yes,,
6634,Asus,Zenfone 3 Laser ZC551KL,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016,149 x 76 x 7.9 mm (5.87 x 2.99 x 0.31 in),150.0,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~73.6% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 6.0.1 (Marshmallow)| upgradable to 7.0 (Nougat),Octa-core 1.4 GHz Cortex-A53,Qualcomm MSM8937 Snapdragon 430,Adreno 505,microSD  up to 256 GB (uses SIM 2 slot),32 GB,2 GB RAM or 64 GB| 4 GB RAM,13 MP| f/2.0| laser autofocus| dual-LED (dual tone) flash,8 MP| f/2.0,Yes,Yes,Yes,,FM radio,Non-removable Li-Ion 3000 mAh battery,270.0,http://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-laser-zc551kl.jpg,GSM,LTE,Yes,8,Yes,,,,,LCD,Yes,,
6635,Asus,Zenfone C ZC451CG,HSPA 42.2/5.76 Mbps,Yes,Yes,2015,136.5 x 67 x 10.9 mm (5.37 x 2.64 x 0.43 in),150.0,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.5 inches (~61.0% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.4.2 (KitKat),Dual-core 1.2 GHz,Intel Atom Z2520,PowerVR SGX544MP2,microSD  up to 64 GB (dedicated slot),8 GB,1 GB RAM,5 MP| f/2.0| autofocus| LED flash,VGA| f/2.8,Yes,Yes,Yes,,FM radio,Removable Li-Ion 2100 mAh battery,90.0,http://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-c.jpg,GSM,,Yes,2,Yes,,,,,LCD,Yes,,
6636,Asus,PadFone X,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2014,143.4 x 72.5 x 10 mm (5.65 x 2.85 x 0.39 in),150.0,Micro-SIM,Super IPS+ LCD capacitive touchscreen  16M colors,5.0 inches (~66.3% screen-to-body ratio),1080 x 1920 pixels (~441 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 2.3 GHz Krait 400,Qualcomm Snapdragon 800,Adreno 330,microSD  up to 64 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,2 MP| 1080p@25fps,Yes,Yes,Yes,Yes,No,Non-removable Li-Po 2300 mAh battery,320.0,http://cdn2.gsmarena.com/vv/bigpic/Asus-PadFone-X.jpg,GSM,LTE,,4,,Yes,,,,LCD,Yes,,
6637,Asus,PadFone S,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2014,143.4 x 72.5 x 10 mm (5.65 x 2.85 x 0.39 in),150.0,Micro-SIM,Super IPS+ LCD capacitive touchscreen  16M colors,5.0 inches (~66.3% screen-to-body ratio),1080 x 1920 pixels (~441 ppi pixel density),Android 4.4.2 (KitKat)| planned upgrade to 6.0 (Marshmallow),Quad-core 2.3 GHz Krait 400,Qualcomm MSM8974AB Snapdragon 801,Adreno 330,microSD  up to 64 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/2.0| autofocus| LED flash,2 MP| | f/2.0| 1080p@30fps,Yes,Yes,Yes,Yes,No,Non-removable Li-Po 2300 mAh battery,250.0,http://cdn2.gsmarena.com/vv/bigpic/asus-padfone-s-new.jpg,GSM,LTE,,4,,Yes,,,,LCD,Yes,,
6638,Asus,PadFone mini 4G (Intel),HSPA 42.2/5.76 Mbps  LTE Cat3 100/50 Mbps,Yes,Yes,2014,132 x 66.7 x 6.3 - 12.5 mm,150.0,Yes,IPS LCD capacitive touchscreen  16M colors,4.5 inches (~63.4% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.4.2 (KitKat),Dual-core 1.6 GHz,Intel Atom Z2560,PowerVR SGX544MP2,microSD  up to 64 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes,,To be confirmed,Removable Li-Ion 2060 mAh battery,300.0,http://cdn2.gsmarena.com/vv/bigpic/asus-pf451cl.jpg,GSM,LTE,,2,Yes,,,,,LCD,Yes,,
6639,BLU,Life Mark,HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016,142.4 x 72 x 9.5 mm (5.61 x 2.83 x 0.37 in),150.0,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.2% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720,microSD  up to 64 GB,16 GB,2 GB RAM,13 MP| f/2.0| autofocus| LED flash,5 MP,Yes,Yes,Yes,,FM radio,Removable Li-Po 2300 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/blu-life-mark.jpg,GSM,LTE,Yes,4,,Yes,,,,LCD,Yes,,
6640,BLU,Studio M HD,HSPA 21.1/5.76 Mbps,Yes,Yes,2016,143.3 x 72 x 8.9 mm (5.64 x 2.83 x 0.35 in),150.0,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,,Mali-400,microSD  up to 64 GB,16 GB,1 GB RAM,8 MP| f/2.8| autofocus| LED flash,2 MP,Yes,Yes,Yes,,Stereo FM radio,Removable Li-Po 2000 mAh battery,80.0,http://cdn2.gsmarena.com/vv/bigpic/blu-studio-m-hd.jpg,GSM,,Yes,4,,Yes,,,,LCD,Yes,,
6641,Celkon,Millennia Xplore,HSPA 21.1/5.76 Mbps,Yes,Yes,2015,145.7 x 73.8 x 7.9 mm (5.74 x 2.91 x 0.31 in),150.0,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6582M,Mali-400MP2,microSD  up to 32 GB,8 GB,1 GB RAM,13 MP| LED flash,8 MP,Yes,Yes,Yes,,FM radio,Li-Ion 2000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/celkon-q58-xplore.jpg,GSM,,Yes,4,Yes,,,,,LCD,Yes,,
6642,Gigabyte,GSmart Classic,HSPA 21.1/5.76 Mbps,Yes,Yes,2015,145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in),150.0,Dual SIM (Mini-SIM/ Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.2 GHz,Spreadtrum SC7731,Mali-400,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,5 MP,Yes,Yes,Yes,,FM radio,Removable Li-Ion 2000 mAh battery,100.0,http://cdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg,GSM,,Yes,4,Yes,,,,,LCD,Yes,,
6643,Gigabyte,GSmart Mika M2,HSPA 21.1/5.76 Mbps,Yes,Yes,2014,145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),150.0,Dual SIM (Mini-SIM),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.3% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Yes,,FM radio,Removable Li-Ion 2000 mAh battery,190.0,http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-m2.jpg,GSM,,Yes,4,Yes,,,,,LCD,Yes,,
